,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
Midas Club,Midas Club,94,38,56,40.43%,38,56,24.1,27.53,53.53,2061,2228,822,36,37:35:00,37:04:00,37:56:00,-00:52
w33ha earthspirit,w33ha earthspirit,94,53,41,56.38%,43,51,24.71,24.35,55.78,2136,2355,939,37,40:11:00,37:50:00,43:12:00,#VALUE!
Cyber Legacy,Cyber Legacy,93,36,57,38.71%,32,61,21.26,23.03,50.09,1963,2347,857,44,35:50:00,37:15:00,34:55:00,2:19
Sparking Arrow Gaming,Sparking Arrow Gaming,92,43,49,46.74%,52,40,20.68,23.57,48.25,2036,2434,914,43,35:01:00,34:24:00,35:33:00,#VALUE!
Happy Feet,Happy Feet,91,41,50,45.05%,50,41,25.68,28.02,57.12,2080,2345,874,39,39:03:00,37:57:00,39:57:00,#VALUE!
Sacred,Sacred,90,46,44,51.11%,49,41,25.22,25.58,55.89,2046,2294,821,44,37:19:00,37:28:00,37:09:00,0:18
We.are.young,We.are.young,90,33,57,36.67%,36,54,21.67,25.67,50.68,1894,2071,665,37,34:15:00,35:36:00,33:27:00,2:09
Team Braveheart,Team Braveheart,86,46,40,53.49%,53,33,25.45,25.42,55.86,1994,2283,746,36,36:42:00,37:42:00,35:34:00,2:08
TEAM TEAM,TEAM TEAM,86,36,50,41.86%,44,42,23.08,26.84,50.7,2084,2300,841,42,36:19:00,36:41:00,36:02:00,0:38
Lotac,Lotac,84,40,44,47.62%,38,46,27.36,25.49,60.51,2163,2436,959,43,39:51:00,41:29:00,38:23:00,3:06
Tigers,Tigers,83,42,41,50.60%,49,34,27.6,28.67,59.48,2177,2411,981,46,39:57:00,39:22:00,40:33:00,#VALUE!
Team Waooo,Team Waooo,83,39,44,46.99%,44,39,23.93,30.76,53.96,2067,2286,798,47,36:18:00,35:58:00,36:37:00,-00:38
Neon Esports,Neon Esports,83,38,45,45.78%,43,40,23.63,23.92,56.02,2150,2590,916,40,36:29:00,36:03:00,36:50:00,-00:46
HellRaisers,HellRaisers,83,38,45,45.78%,48,35,26.22,27.05,57.72,1965,2219,866,45,39:59:00,40:17:00,39:44:00,0:32
Chaos EC,Chaos EC,82,48,34,58.54%,35,47,23,20.88,53.27,2116,2502,878,47,35:20:00,33:50:00,37:28:00,#VALUE!
Espada,Espada,81,42,39,51.85%,31,50,28.47,30.25,64.09,2128,2368,925,50,41:25:00,41:08:00,41:44:00,-00:35
Hippomaniacs,Hippomaniacs,79,32,47,40.51%,40,39,25.85,31.81,60.35,2091,2438,850,40,37:32:00,38:09:00,37:07:00,1:01
Digital Chaos,Digital Chaos,77,34,43,44.16%,42,35,23.71,23.04,50.13,2059,2300,833,37,36:51:00,37:11:00,36:34:00,0:37
Team VDuoBao,Team VDuoBao,77,46,31,59.74%,32,45,26.13,23.53,59.86,2036,2261,816,42,37:40:00,37:20:00,38:10:00,-00:50
LYG.Gaming,LYG.Gaming,76,24,52,31.58%,39,37,22.21,27.12,50.46,1858,2113,715,43,35:41:00,35:37:00,35:43:00,-00:06
Thunder Predator,Thunder Predator,75,44,31,58.67%,42,33,25.92,20.37,57.56,2061,2452,803,44,34:15:00,33:17:00,35:38:00,#VALUE!
MAD KINGS -E-SPORTS,MAD KINGS -E-SPORTS,73,27,46,36.99%,36,37,24.74,26.33,52.51,2114,2285,828,41,36:32:00,35:12:00,37:18:00,#VALUE!
team_ftd_a,team_ftd_a,73,44,29,60.27%,33,40,25.34,25.08,57.42,2114,2274,728,47,34:47:00,33:35:00,36:37:00,#VALUE!
EGOBOYS,EGOBOYS,71,27,44,38.03%,30,41,22.34,25.86,50.97,2081,2435,875,41,36:30:00,40:33:00,34:01:00,6:32
Nemiga Gaming,Nemiga Gaming,71,31,40,43.66%,31,40,23.73,27.83,53.69,2089,2426,886,41,36:51:00,38:44:00,35:22:00,3:22
J.Storm,J.Storm,70,31,39,44.29%,25,45,24.31,22.64,57.3,2074,2433,834,41,36:40:00,31:38:00,40:40:00,#VALUE!
Aggressive Mode,Aggressive Mode,69,27,42,39.13%,40,29,22.16,25.35,48.68,1953,2319,757,48,32:51:00,31:25:00,33:46:00,#VALUE!
Danish Bears,Danish Bears,69,38,31,55.07%,50,19,25.17,23.29,57.83,2152,2104,785,31,37:57:00,33:49:00,43:01:00,#VALUE!
SG e-sports,SG e-sports,68,33,35,48.53%,33,35,21.57,24.01,51.72,2176,2179,884,35,39:31:00,40:37:00,38:28:00,2:08
BOOM Esports,BOOM Esports,68,38,30,55.88%,28,40,22.62,20.66,51.68,2014,2516,859,39,34:29:00,34:02:00,35:03:00,-01:00
Fighting PandaS,Fighting PandaS,67,30,37,44.78%,34,33,20.94,22.88,49.19,2104,2551,906,45,35:01:00,36:25:00,33:54:00,2:31
Ad Finem,Ad Finem,66,28,38,42.42%,27,39,26.71,28.95,61.5,2154,2676,953,42,38:27:00,39:25:00,37:44:00,1:41
OG.Seed,OG.Seed,64,30,34,46.88%,32,32,23.06,27.03,53.95,1898,2297,742,39,33:46:00,34:47:00,32:52:00,1:55
Team Unique,Team Unique,64,27,37,42.19%,29,35,23.2,30.14,56.59,1966,2382,813,39,35:11:00,34:11:00,35:55:00,#VALUE!
VP.Prodigy,VP.Prodigy,61,44,17,72.13%,38,23,24.48,17.95,58.2,2075,2532,853,45,34:09:00,35:25:00,30:51:00,4:34
Team Sirius,Team Sirius,61,20,41,32.79%,35,26,19.46,24.62,45.75,2025,2354,901,42,35:05:00,35:21:00,34:58:00,0:23
the wings gaming,the wings gaming,61,27,34,44.26%,41,20,22.46,26.62,54.52,2034,2211,846,44,39:50:00,38:13:00,41:08:00,#VALUE!
Admiral Dota,Admiral Dota,60,29,31,48.33%,16,44,28.38,29.25,59.15,2190,2503,947,47,39:20:00,40:35:00,38:10:00,2:25
Cignal Ultra,Cignal Ultra,59,24,35,40.68%,44,15,23.71,27.53,54.64,2147,2657,988,42,39:02:00,38:19:00,39:31:00,#VALUE!
,,59,32,27,54.24%,34,25,25.54,26.08,60.22,2064,2270,808,46,37:51:00,35:52:00,40:12:00,#VALUE!
Chaos Esports Club,Chaos Esports Club,58,31,27,53.45%,29,29,21.57,24,46.45,2148,2280,768,48,32:05:00,32:56:00,31:07:00,1:48
business associates,business associates,57,28,29,49.12%,21,36,23.49,21.82,54.44,1932,2265,753,43,33:46:00,31:40:00,35:48:00,#VALUE!
B8,B8,57,9,48,15.79%,29,28,17.74,26.19,41.7,1741,2047,725,36,33:09:00,33:11:00,33:09:00,0:01
Flying Penguins,Flying Penguins,56,31,25,55.36%,30,26,24.59,22.05,58.79,2198,2425,933,47,37:18:00,38:30:00,35:49:00,2:41
NoPing Esports,NoPing Esports,55,31,24,56.36%,37,18,24.75,22.49,55.55,2125,2483,865,43,34:29:00,33:09:00,36:12:00,0
beastcoast,beastcoast,55,22,33,40.00%,22,33,21.84,27.93,50.31,2109,2414,932,37,36:50:00,37:52:00,36:09:00,1:43
Winstrike Team,Winstrike Team,55,24,31,43.64%,26,29,25.25,28.07,54.42,2111,2343,835,50,35:35:00,35:20:00,35:47:00,-00:26
Wind and Rain,Wind and Rain,54,16,38,29.63%,34,20,21.06,28.91,49,2046,2421,912,34,37:21:00,39:15:00,36:34:00,2:41
Avalon_Club,Avalon_Club,53,24,29,45.28%,38,15,23.32,22.94,48.91,1978,2106,701,37,34:44:00,34:39:00,34:48:00,-00:09
SC,SC,52,17,35,32.69%,29,23,23.1,26.33,52.33,1849,2107,686,39,33:43:00,33:24:00,33:52:00,-00:27
M19,M19,52,22,30,42.31%,28,24,25.4,28.02,57.54,1914,2238,841,39,39:41:00,42:39:00,37:30:00,5:09
Team Onyx,Team Onyx,52,28,24,53.85%,27,25,20.44,18.42,49.62,2100,2101,711,27,34:13:00,33:03:00,35:35:00,#VALUE!
Effect,Effect,52,25,27,48.08%,32,20,22.87,24.54,54.06,2064,2235,769,48,35:44:00,34:46:00,36:38:00,#VALUE!
To.be.or.not.to.be,To.be.or.not.to.be,50,22,28,44.00%,26,24,23,25.42,54.16,2060,2254,795,34,36:14:00,33:36:00,38:17:00,#VALUE!
Comanche,Comanche,50,21,29,42.00%,36,14,23.64,25.22,56.9,2002,2072,800,26,39:39:00,38:45:00,40:18:00,#VALUE!
Team Singularity,Team Singularity,49,16,33,32.65%,28,21,25.35,30.02,57.37,1935,2257,806,43,38:41:00,43:02:00,36:34:00,6:28
is GG,is GG,49,19,30,38.78%,30,19,22.82,23.49,53.82,1951,2163,681,32,33:31:00,34:21:00,33:00:00,1:21
Look For Smile,Look For Smile,48,17,31,35.42%,23,25,22.21,26.35,49.52,2048,2502,836,43,35:25:00,34:20:00,36:01:00,#VALUE!
paiN X,paiN X,48,26,22,54.17%,30,18,23.73,21.77,47.81,2084,2337,838,52,35:40:00,32:59:00,38:51:00,#VALUE!
Luccini Gaming,Luccini Gaming,48,19,29,39.58%,21,27,22.38,25.83,48.06,1978,2173,739,37,33:35:00,34:16:00,33:08:00,1:08
YOSHIMOTO.DETONATOR,YOSHIMOTO.DETONATOR,47,20,27,42.55%,20,27,24.79,29.47,55.45,2063,2311,818,39,36:15:00,36:39:00,35:58:00,0:41
TSHOW RISING,TSHOW RISING,47,16,31,34.04%,26,21,24.94,27.51,56.81,2020,2223,803,36,36:45:00,39:38:00,35:15:00,4:23
ForTheDream,ForTheDream,47,30,17,63.83%,10,37,30.6,27.6,67.13,2217,2531,914,55,38:35:00,36:47:00,41:46:00,#VALUE!
CR4ZY,CR4ZY,47,25,22,53.19%,40,7,22.26,19.11,53.68,1984,2409,850,48,34:19:00,34:40:00,33:55:00,0:45
Rock.Young,Rock.Young,46,26,20,56.52%,23,23,26.17,21.35,56.67,2071,2294,775,45,34:20:00,36:46:00,31:11:00,5:34
Wheel Whreck While Whistling,Wheel Whreck While Whistling,45,14,31,31.11%,26,19,20.2,27.31,43.89,1828,2073,757,38,36:08:00,37:03:00,35:43:00,1:20
White Fries Gaming,White Fries Gaming,45,13,32,28.89%,20,25,20.18,23.89,44.51,1836,2087,750,38,36:24:00,41:01:00,34:31:00,6:29
Mid or Feed,Mid or Feed,44,14,30,31.82%,34,10,23.39,31.16,54.18,1949,2231,815,36,38:34:00,44:20:00,35:53:00,8:27
Mad Lads,Mad Lads,43,20,23,46.51%,23,20,24.86,26.95,56.14,2103,2215,894,38,40:51:00,42:48:00,39:09:00,3:39
C5Gaming,C5Gaming,43,11,32,25.58%,28,15,19.65,29.35,44.63,1831,2013,694,31,35:17:00,41:45:00,33:04:00,8:40
forZe eSports,forZe eSports,43,20,23,46.51%,17,26,22.02,24.44,52.3,1925,2249,713,48,32:59:00,33:15:00,32:46:00,0:28
Typhoon,Typhoon,42,14,28,33.33%,22,20,19.62,27.17,46.14,1917,2253,765,37,32:48:00,41:14:00,28:36:00,12:38
Team Empire Hope,Team Empire Hope,42,20,22,47.62%,10,32,22.83,26.4,51.57,2018,2370,850,46,36:09:00,37:32:00,34:53:00,2:38
SFTe-SPORTS,SFTe-SPORTS,42,22,20,52.38%,25,17,31.43,32.05,70.19,1981,2370,907,39,43:42:00,41:57:00,45:37:00,#VALUE!
ULrica-,ULrica-,41,8,33,19.51%,20,21,19.34,29.56,43.2,1864,2096,715,38,33:13:00,36:41:00,32:23:00,4:17
BLUE PIKACHU,BLUE PIKACHU,40,10,30,25.00%,20,20,20.27,30.65,46.73,1799,2041,636,36,32:34:00,41:52:00,29:28:00,12:23
Pavaga Junior,Pavaga Junior,40,19,21,47.50%,19,21,25.02,24.48,57.48,2168,2489,970,40,37:37:00,40:58:00,34:35:00,6:23
Chicken Fighters !,Chicken Fighters !,39,22,17,56.41%,15,24,20.18,23.05,46.79,2018,2373,816,35,33:49:00,33:13:00,34:35:00,#VALUE!
Newbee.mgb,Newbee.mgb,38,20,18,52.63%,14,24,26.74,25.68,61.79,2102,2277,772,39,35:35:00,36:34:00,34:30:00,2:04
Team Freedom Dota 2,Team Freedom Dota 2,38,13,25,34.21%,13,25,18.68,24.61,43.08,2008,2049,784,26,37:09:00,42:01:00,34:37:00,7:24
Aachen City Esports,Aachen City Esports,38,13,25,34.21%,23,15,23.16,28.87,54.76,2124,2417,970,35,39:22:00,42:00:00,38:00:00,3:59
Ninjas in Pyjamas,Ninjas in Pyjamas,38,12,26,31.58%,16,22,22.24,26.58,50.71,2068,2058,898,29,41:27:00,41:36:00,41:23:00,0:13
Uvajenie.Hope,Uvajenie.Hope,37,17,20,45.95%,16,21,23.27,24.62,56.08,2125,2449,919,44,37:38:00,37:54:00,37:24:00,0:29
Sun Gaming,Sun Gaming,37,20,17,54.05%,21,16,23.3,22.7,57.86,2042,2373,839,38,36:07:00,35:48:00,36:30:00,-00:42
Double Dimension,Double Dimension,37,13,24,35.14%,17,20,22.11,24.11,52.08,2042,2236,756,40,34:37:00,35:20:00,34:14:00,1:06
496 Gaming,496 Gaming,37,18,19,48.65%,13,24,26.81,28.73,61.57,2190,2486,888,38,37:34:00,38:11:00,36:59:00,1:12
WarriorsGaming.Unity,WarriorsGaming.Unity,37,12,25,32.43%,18,19,22.05,27.08,47.86,2006,2239,817,41,35:45:00,35:04:00,36:04:00,-01:00
jfshfh178,jfshfh178,37,14,23,37.84%,21,16,20.3,23.14,48.81,2017,2355,929,49,37:59:00,37:41:00,38:10:00,-00:28
EHOME.immortal,EHOME.immortal,37,12,25,32.43%,21,16,24.97,26.62,58.43,1960,2200,815,50,37:27:00,35:43:00,38:18:00,#VALUE!
Unknown Team,Unknown Team,36,15,21,41.67%,23,13,23.72,26.83,54.78,2150,2536,889,35,36:29:00,38:48:00,34:49:00,3:59
Team Lithium,Team Lithium,36,14,22,38.89%,15,21,28.25,33.89,63.83,2057,2341,926,42,41:31:00,45:37:00,38:54:00,6:42
Quincy Crew,Quincy Crew,36,24,12,66.67%,20,16,24.83,20.11,56.44,1991,2333,816,44,34:26:00,32:33:00,38:13:00,#VALUE!
Team Root,Team Root,36,14,22,38.89%,16,20,18.5,23.92,42.19,2053,2203,832,49,34:16:00,33:30:00,34:45:00,#VALUE!
Braxstone|,Braxstone|,35,18,17,51.43%,18,17,26.71,26.69,54.97,2139,2352,732,46,33:26:00,30:05:00,36:58:00,#VALUE!
Rex Regum QEON,Rex Regum QEON,35,12,23,34.29%,19,16,21.54,25.71,48.46,2038,2128,707,28,34:21:00,36:00:00,33:30:00,2:30
